951,7705
952,7700
101,7920
104,7934
155,7694
953,7912
954,7683
955,8773
112,7907
956,7908
957,7921
958,7913
959,7914
960,7922
126,7936
82,8774,8775
961,7699
962,7695
86,7947
963,8760
410,7951
414,8759
413,8761
966,8758
968,7932
389,8771,8772
969,7945
392,8769
970,7944
398,7933
971,7946
404,8770
972,7949
29,7707
28,7685
973,7678
974,7686
182,7679
975,7688
193,7709
192,7682
197,7681
976,7680
977,7710
337,7712
341,7690
338,7903
339,7691
340,7697
978,7909
206,7915
979,7924
211,7925
980,7938
168,7939
981,7940
214,8752
218,7687
982,7684
983,7926
984,7941
985,8755,8756
220,7693
228,7950
174,7905
234,7904
987,7927
266,7910
274,7711
272,7906
264,7714
245,7706
246,8764
990,7692
991,7698
297,7689
992,7704
993,7702
308,7918
1000,7708
253,7942
314,7911
995,7928
323,7929
996,7931,8768
997,7930
330,8767
998,7943
964,7713
965,7696
59,7935
417,8776
967,8762,8763
276,8766
249,7703
202,7902
988,7916
989,7937
999,7701
363,7948
365,8757
275,8765
425,7917
426,7923
427,7919
1001,8753
1002,8754
2201,15626
2217,16745
1003,16746
1004,17577,17592
2227,15627
1005,17578
2211,15628
1006,16756
2019,15629
2020,16747
2004,15630
2029,17582
2008,15631
1007,16751
2064,17583
2030,17584,17588
2039,15632
2035,16748
1008,17585,17590
1009,16754
2013,15633
2017,16749
2079,17586
2014,15634
1010,16742
2048,17587,17593
2103,15635
2120,17579
2102,16750
2105,15636
2129,16743,17591
2109,15637
1011,16752
2177,17580
2112,15638
2173,16753
2113,17581
2114,16744,17589
1012,7927
1013,20143
2501,23063
1027,24214,24993
1028,24882
1029,24883
1030,23065
1031,24215
1032,24884
1033,23066
1034,24885
1035,24886
1036,24887
1042,24994
1043,24890
1037,23067
1038,24888
1039,24889
1040,24216
1041,23068
1046,24892
2500,24893
1049,24218
1045,24217
1047,23069
1048,23070
1044,24891,24995
2502,23057
2504,24205
2503,24206
1014,24207,24990
1015,23058
1016,23059
1017,24208
1018,24209
1019,23060,24991
1020,23061
1021,24210
1022,24212
1023,24211
1025,24881
1026,23062,24992
2505,23064
2506,24213
3289,33316
3290,30432
3291,28065
3292,30433
3293,32049
3294,28067
3295,33317
3296,28925,33239
3297,30434
3298,32050
3299,28926
3300,28068
3301,33318
3302,33319,33240
3303,32051
3304,28066
3305,28069,33241
3307,28927
3306,33320
3308,30435
3309,28070,33242
3310,32052
3311,28928
3314,33322
3312,33321
3313,30436
3315,28071,33243
3316,32053
3317,28929
3318,30437
3319,33323
3320,28930
3321,32054
3322,33325,33244
3323,33326
3324,30438
3325,28072
3326,30439
3458,33324
4050,36679
4051,37845
4052,38830
4053,36680
4054,38831
4055,37846
4056,39879
4057,41401,41407
4058,36681
4059,37847
4060,41402
4061,38832
4062,36682
4063,39880
4064,37848
4065,38833
4066,41403
4067,39881,41408
4068,36683,41409
4069,37849
4070,37850
4071,41404,41411
4072,38834
4073,37853
4074,39883
4075,38836,41410
4076,38835
4077,36684
4078,39882
4079,37851
4080,41405
4081,36685
4082,37852
4083,41406,41412
5037,44339
5038,47988
5040,44340
5043,47989
5044,44341
5045,47990
5051,44343
5052,47991
5053,47992
5061,44342
5062,44345
5063,47993
5067,44346
5068,47994
5070,44344
5071,47995
