空天姬预设,5.1285.1285.20250924
说明,更新鳐鳐以及7.3鱼王\n更新数个玻璃星任务
杂项,1//预设分级：非预设
全提,平钓【万能拟饵】》全部//预设分级：最优化
耐心全提,耐心【万能拟饵】》全部》全部》全部》全部//预设分级：最优化
攒鱼计,平钓【万能拟饵】》全部=攒鱼计；//预设分级：最优化
练级,耐心【万能拟饵】》全部=收藏；//预设分级：最优化
近东虾,平钓【青花鱼块】》22~！双重@拍水16~！【占位】@专一【近东虾】//预设分级：最优化
星尘虾,平钓【深红沙蚕】》！@专一【星尘虾】=引诱、不撒饵；//星尘虾//预设分级：最优化
黄金鳗,平钓【红蛆】》~19！！@拍水！！【亚斯拉尼弓鳍鱼】@专一【黄金鳗】三提=不撒饵；//预设分级：有效的
云旗鱼,平钓【仙人刺拟饵】》~23！！@专一【云旗鱼】双提=不撒饵、多提；//素材鱼//预设分级：合格的
巧儿海陆行鸟,耐心【沙蚕】@0802-1600》！》！！》23~！！！=巧儿海陆行鸟；//预设分级：有效的
魔法水桶,平钓【残暴水蛭】》！！！@拍水【妖祸克拉肯】=【魔法水桶】；钓组；//预设分级：最优化
鳐鳐,平钓【蜻蜓】》！！！@拍水！！【佐戈蝎】=【鳐鳐】；//预设分级：无错误
桶眼鱼,耐心【天钢之球】@（打雷）》！》16~25.5！！=收藏品；//预设分级：有效的
灵岩之剑,耐心【万能拟饵】》（！）6.5+12~10.7+20.6！！@专一【灵岩之剑】》8.5~！！=收藏品、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注效率4600h , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
斑斓菊石螺,耐心【金属亮片】@1202-1600（碧空）》！》！！！=【斑斓菊石螺】；引诱；//预设分级：合格的
月面死亡蠕虫,耐心【奇美拉蠕虫】@（晴朗）》！【紫鱼】》！！！=收藏品、引诱、不撒饵；//预设分级：最优化
克雷拉鲤,大鱼【嘭嘭拟饵】》！！@拍水【蛇头鳢】=收藏、鱼影、不撒饵；//预设分级：合格的
