版本,其他,俄匊斯：已补全非限时的探索任务预设；法恩娜：已补全非限时的探索任务预设；憧憬湾：已补全所有探索任务预设,,02.19.0849,
说明,其他,ID,后缀ID,俄匊斯：已补全非限时的探索任务预设；法恩娜：已补全非限时的探索任务预设；憧憬湾：已补全所有探索任务预设,备注
杂项,其他,,,26,
测试,一般,,,平钓【万能拟饵|29717】》全部=【任何】；引诱；,
全提,一般,,,平钓【万能拟饵|29717】》全部,
耐心全提,一般,,,耐心【万能拟饵|29717】》全部》全部》全部》全部,
攒鱼计,一般,,,平钓【万能拟饵|29717】》全部=攒鱼计；,
练级,一般,,,耐心【万能拟饵|29717】》全部=大尺寸；,
近东虾,一般,38935,,平钓【青花鱼块|36593】》11+22~！双提@拍水8+16~！【占位】@专一【近东虾|38935】,
星尘虾,一般,43668,,平钓【深红沙蚕|43850】》！@专一【星尘虾|43668】=不撒饵、引诱；,
黄金鳗,一般,46188,,平钓【红蛆|43858】》~9+17！！@拍水！！【亚斯拉尼弓鳍鱼|43773】@专一【黄金鳗|46188】双提=不撒饵、引诱、确保多提、多提回退；,
云旗鱼,一般,44347,,平钓【仙人刺拟饵|43853】》~12+23！！@专一【云旗鱼|44347】双提=不撒饵、确保多提；,
巧儿海陆行鸟,一般,20524,,耐心【沙蚕|2585】@0802-1600》！》！！》11+23~！！！=【巧儿海陆行鸟|20524】；,
魔法水桶,一般,15439,,平钓【残暴水蛭|12711】》！！！@拍水【妖祸克拉肯|14219】=【魔法水桶|15439】；钓组；,
鳐鳐,一般,46779,,平钓【蜻蜓|43857】》！！！@拍水！！【佐戈蝎|43759】=【鳐鳐|46779】；,
桶眼鱼,一般,12827,,耐心【天钢之球|30136】@（打雷|9）》！》8+16~14+25.5！！=收藏品、大尺寸；,
灵岩之剑,一般,36473,,耐心【万能拟饵|29717】》（！）6.5+12~10.7+20.6！！@专一【灵岩之剑|36473】》4+8.5~！！=不撒饵、收藏品、大尺寸；,4600/h
斑斓菊石螺,一般,27508,,耐心【金属亮片|28634】@1202-1600（碧空|1）》！》！！！=【斑斓菊石螺|27508】；引诱；,
月面死亡蠕虫,一般,36472,,耐心【奇美拉蠕虫|36595】@（晴朗|2）》！【紫鱼|36470】》！！！=不撒饵、收藏品、大尺寸、引诱；,
法拉伊那,一般,36521,,大鱼【星尘|36597】@0002-0400》~7+13！！@拍水【三叉神海兽|36508】》！！！=【法拉伊那|36521】；不撒饵、收藏品、大尺寸、引诱；,
克雷拉鲤,一般,43784,,大鱼【嘭嘭拟饵|43855】》！！@拍水【蛇头鳢|43785】=不撒饵、收藏品、大尺寸、鱼影；,
佐戈秃鹰,一般,43761,,大鱼【蜻蜓|43857】》10+20~！！@拍水【佐戈蝎|43759、瀑布徨灵|43760】=不撒饵、收藏品、大尺寸、鱼影；,4500/h
佐戈秃鹰万能拟饵,一般,43761,29717,大鱼【万能拟饵|29717】》11+22~！！@拍水【佐戈蝎|43759、瀑布徨灵|43760】=不撒饵、收藏品、大尺寸、鱼影；,
佐戈秃鹰仙人刺拟饵,一般,43761,43853,大鱼【仙人刺拟饵|43853】》11+22~！！@拍水【佐戈蝎|43759、瀑布徨灵|43760】=不撒饵、收藏品、大尺寸、鱼影；,
云蜂,一般,43762,,大鱼【蜻蜓|43857】》8+16~！@拍水！【佐戈之核|43757】=不撒饵、收藏品、大尺寸、鱼影；,
铲鼻鲶,一般,43714,,大鱼【嘭嘭拟饵|43855】》6+13~！！@拍水【圆点刺魟|43712】=不撒饵、收藏品、大尺寸、大鱼知识、引诱；,
角蛙,一般,43731,,耐心【黄金幼虫|43849】@0002-0200》！》6+12~！！=不撒饵、收藏品、大尺寸；,
紫舌尖,一般,46249,,大鱼【红蛆|43858】》11+23~！！@拍水【？紫舌尖|46249】@专一【紫舌尖|46249】=不撒饵、收藏品、大尺寸、大鱼知识、引诱；,
杂项末尾,其他,,,,
肝武,其他,,,20,
天钢钓竿,其他,,,6,
智慧珊瑚,一般,29673,,平钓【天钢之球|30136】》~8+14！@专一【智慧珊瑚|29673】三提=40【智慧珊瑚|29673】；不撒饵、重随；,
龙骨贝,一般,29678,,平钓【天钢之球|30136】》！@拍水【魔角蜗牛|12725】@专一【龙骨贝|29678】三提=60【龙骨贝|29678】；不撒饵；,
梅花贝,一般,31129,,平钓【天钢之球|30136】》~9+17.1！三提@专一【梅花贝|31129】=60【梅花贝|31129】；不撒饵、引诱；,
亚拉戈猎手,一般,31134,,平钓【天钢之球|30136】》4+8.7~！！@拍水！！【黑鞭|12773】@专一【亚拉戈猎手|31134】三提=70【亚拉戈猎手|31134】；不撒饵；,
点火鱼,一般,31770,,耐心【天钢之球|30136】》7+14~！！=60【点火鱼|31770】；不撒饵、收藏品、大尺寸、大鱼知识、引诱；,$不定收藏价值换材料可能溢出或不足
褪色球球,一般,31771,,耐心【天钢之球|30136】》4+9.5~！@拍水【水剑鱼|12791】=60【褪色球球|31771】；不撒饵、收藏品、大尺寸、大鱼知识、引诱；,$不定收藏价值换材料可能溢出或不足
莫雯钓竿,其他,,,12,
白金海马,一般,38792,,耐心【卓越丸子|38808】》~4+7.5！@专一【白金海马|38792】=30【白金海马|38792】；不撒饵、收藏品、大尺寸；,
击木灯塔守卫,一般,38793,,大鱼【卓越丸子|38808】》！！=30【击木灯塔守卫|38793】；不撒饵、收藏品、大尺寸、引诱；,
镜中影,一般,38798,,耐心【卓越丸子|38808】》~4+7.5！@拍水【？镜中影|38798】@专一【镜中影|38798】=40【镜中影|38798】；不撒饵、收藏品、大尺寸；,
亮片巨骨舌鱼,一般,38799,,大鱼【卓越丸子|38808】》！！@专一【亮片巨骨舌鱼|38799】=40【亮片巨骨舌鱼|38799】；不撒饵、收藏品、大尺寸、引诱；,
黄遁鱼,一般,39809,,耐心【卓越丸子|38808】》~4+7.5！@专一【黄遁鱼|39809】=39【黄遁鱼|39809】；不撒饵、收藏品、大尺寸；,$原地精选可能暴击否则请多钓一条
